aces,doubleFautes,firstServe,firstServePointsWon,secondServePointsWon,breakPointsFaced,breakPointsSaved,serviceGamePlayed,serviceGamesWon,totalServicePointsWon,firstServeReturnPointsWon,secondServeReturnPointsWon,breakPointsOpportunities,breakPointsConverted,returnGamesPlayed,returnGamesWon,returnPointsWon,totalPointsWon,url,year
,,,,,,,,,,,,,,,,,,https://www.atptour.com/en/players/rafael-nadal/n409/player-stats?year=2020&surfaceType=clay,2020
3,3,60%,72%,46%,18,67%,20,70%,62%,18%,38%,3,33%,20,5%,25%,44%,https://www.atptour.com/en/players/steve-darcis/d632/player-stats?year=2019&surfaceType=clay,2019
19,24,53%,69%,41%,77,65%,79,66%,56%,33%,44%,43,49%,79,27%,37%,47%,https://www.atptour.com/en/players/illya-marchenko/me89/player-stats?year=2016&surfaceType=clay,2016
,,,,,,,,,,,,,,,,,,https://www.atptour.com/en/players/daniel-evans/e687/player-stats?year=2016&surfaceType=clay,2016
39,39,52%,72%,48%,88,60%,134,74%,61%,29%,53%,75,43%,138,23%,38%,49%,https://www.atptour.com/en/players/stephane-robert/r612/player-stats?year=2016&surfaceType=clay,2016
88,39,71%,71%,54%,145,72%,262,85%,66%,30%,52%,176,34%,265,22%,39%,52%,https://www.atptour.com/en/players/guido-pella/pc11/player-stats?year=2016&surfaceType=clay,2016
93,58,67%,71%,53%,119,62%,251,82%,65%,36%,52%,203,39%,248,32%,42%,53%,https://www.atptour.com/en/players/fernando-verdasco/v306/player-stats?year=2016&surfaceType=clay,2016
95,37,67%,72%,55%,89,69%,184,85%,66%,29%,48%,99,37%,183,20%,37%,51%,https://www.atptour.com/en/players/jiri-vesely/v708/player-stats?year=2016&surfaceType=clay,2016
26,28,61%,68%,53%,57,54%,108,76%,62%,29%,52%,74,32%,109,22%,38%,50%,https://www.atptour.com/en/players/mikhail-youzhny/y061/player-stats?year=2016&surfaceType=clay,2016
29,27,53%,70%,52%,65,58%,114,76%,62%,32%,50%,60,48%,116,25%,39%,50%,https://www.atptour.com/en/players/andrey-kuznetsov/kb54/player-stats?year=2016&surfaceType=clay,2016
54,22,65%,72%,48%,37,59%,74,80%,64%,21%,46%,23,35%,73,11%,31%,48%,https://www.atptour.com/en/players/kevin-anderson/a678/player-stats?year=2016&surfaceType=clay,2016
145,23,60%,79%,57%,88,70%,251,90%,70%,33%,50%,145,43%,244,26%,40%,54%,https://www.atptour.com/en/players/roger-federer/f324/player-stats?year=2009&surfaceType=clay,2009
48,19,65%,66%,52%,118,52%,203,72%,61%,32%,47%,112,45%,204,25%,38%,49%,https://www.atptour.com/en/players/marcel-granollers/g710/player-stats?year=2016&surfaceType=clay,2016
50,60,59%,68%,51%,136,61%,216,75%,61%,34%,52%,157,43%,215,31%,41%,51%,https://www.atptour.com/en/players/fabio-fognini/f510/player-stats?year=2016&surfaceType=clay,2016
16,15,59%,68%,56%,33,48%,69,75%,63%,28%,40%,20,50%,68,15%,32%,48%,https://www.atptour.com/en/players/nicolas-mahut/m873/player-stats?year=2016&surfaceType=clay,2016
86,30,63%,71%,54%,73,59%,157,81%,65%,29%,50%,100,35%,159,22%,37%,50%,https://www.atptour.com/en/players/borna-coric/cg80/player-stats?year=2016&surfaceType=clay,2016
76,62,58%,72%,54%,126,62%,249,81%,64%,32%,52%,159,44%,249,28%,40%,52%,https://www.atptour.com/en/players/federico-delbonis/d874/player-stats?year=2016&surfaceType=clay,2016
203,90,53%,76%,51%,132,55%,308,81%,64%,33%,49%,221,36%,308,26%,39%,51%,https://www.atptour.com/en/players/nicolas-almagro/a479/player-stats?year=2016&surfaceType=clay,2016
